id,name,producer,nation,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137305,Ginestet Bordeaux de Ginestet Red,Maison Ginestet,France,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,22500,2006,750
137306,Ginestet Bordeaux Reserve Red,Maison Ginestet,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,32000,2008,750
137307,Ginestet Bordeaux Blanc,Maison Ginestet,France,White,Table,12,10~12,SWEET1,ACIDITY4,BODY2,TANNIN1,24000,2010,750
137309,Mascaron Bordeaux Blanc,Maison Ginestet,France,White,Table,12.5,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,36000,2008,750
137310,Mascaron Bordeaux rouge,Maison Ginestet,France,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2007,750
137311,Reference,Maison Ginestet,France,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2000,750
137312,Ginestet Margaux,Maison Ginestet,France,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
137314,Ginestet Medoc,Maison Ginestet,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,34000,2007,750
137315,Henri Medoc,Maison Ginestet,France,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
137316,Mascaron Medoc,Maison Ginestet,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,45000,2008,750
137317,"Noble, Medoc",Maison Ginestet,France,Red,Table,12~13,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,26000,2017,750
137318,Chateau Haut Bages Liberal,Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,98000,2017,750
137319,Ginestet Saint Emilion,Maison Ginestet,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2008,750
137320,Mascaron Puisseguin Saint Emilion,Maison Ginestet,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2009,750
137321,"Ginestet, Saint Estephe",Maison Ginestet,France,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2004,750
137322,Ginestet Sauternes,Maison Ginestet,France,White,Dessert,13.5,6~7,SWEET5,ACIDITY3,BODY2,TANNIN1,62000,2010,750
137323,"Ginestet, Selection Cabernet Sauvignon",Maison Ginestet,France,Red,Table,11.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN3,17000,2010,750
137324,Ginestet Selection Merlot,Maison Ginestet,France,Red,Table,11.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,17000,2010,750
137325,Henri Lavigne,Henri Lavigne,France,Sparkling,Appetizer,10.5,6~8,SWEET2,ACIDITY3,BODY3,TANNIN1,14000,0,750
137326,"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",Jean Berteau,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2005,750
137327,"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",Jean Berteau,France,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
137328,"Jean Berteau, Cotes du Rhone Cuvee Prestige White",Jean Berteau,France,White,Table,13,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2006,750
137329,Jean Berteau Excellence,Jean Berteau,France,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",Jean Luc Colombo,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,190000,2011,750
137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",Jean Luc Colombo,France,Red,Table,13,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,260000,2009,750
137332,Cote Rotie La Divine,Jean Luc Colombo,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2004,750
137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,Jean Luc Colombo,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2013,750
137334,Jean Luc Colombo Cotes du Rhone 'Les Abeilles' Blanc,Jean Luc Colombo,France,White,Table,13,10~12,SWEET1,ACIDITY3,BODY4,TANNIN1,39000,2014,750
137335,"Jean Luc Colombo, Crozes Hermitage  Les Gravieres",Jean Luc Colombo,France,White,Table,13,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2005,750
137336,"Jean Luc Colombo, Crozes Hermitage  La Tuiliere",Jean Luc Colombo,France,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
137337,"Jean Luc Colombo, Hermitage Le Rouet",Jean Luc Colombo,France,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,0,2004,750
137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",Jean Luc Colombo,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2018,750
137339,"Jean Luc Colombo, Saint Joseph Red Le Prieure",Jean Luc Colombo,France,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2004,750
137340,"Jean Moreau & Fils, Chablis",Jean Moreau  Fils,France,White,"Appetizer, Table",12.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,50000,2006,750
137341,"Jean Moreau & Fils, Chablis Grand Cru 'Valmur'",Jean Moreau  Fils,France,White,Table,13,10~12,SWEET1,ACIDITY5,BODY3,TANNIN1,150000,2017,750
137342,"Jean Moreau & Fils, Chablis 1er Cru 'Montmains'",Jean Moreau  Fils,France,White,Table,13,10~12,SWEET1,ACIDITY5,BODY3,TANNIN1,90000,2017,750
137343,"Jean Moreau & Fils, Sancerre",Jean Moreau  Fils,France,White,"Appetizer, Table",12.5,9~11,SWEET1,ACIDITY5,BODY2,TANNIN1,57000,2004,750
137344,Jordan Cabernet Sauvignon,Jordan Vineyard  Winery,USA,Red,Table,13.8,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,180000,2012,750
137345,Jordan Chardonnay,Jordan Vineyard  Winery,USA,White,Table,13.7,10~12,SWEET1,ACIDITY3,BODY4,TANNIN1,130000,2014,750
137346,"Blue Nun, Cabernet Sauvignon",Langguth  Blue nun,France,Red,Dessert,13~14,16~18,SWEET3,ACIDITY2,BODY3,TANNIN2,19000,2017,750
137347,"Blue Nun, Dornfelder ",Langguth  Blue nun,Germany,Red,Table,8~9,12~14,SWEET3,ACIDITY4,BODY3,TANNIN4,22000,2017,750
137348,"Blue Nun, Eiswein Riesling",Langguth  Blue nun,Germany,White,Dessert,10,7~8,SWEET5,ACIDITY2,BODY3,TANNIN1,120000,2005,500
137350,"Blue Nun, Gold Edition 22k",Langguth  Blue nun,Germany,Sparkling,"Appetizer, Dessert",10~11,6~8,SWEET4,ACIDITY2,BODY3,TANNIN1,25000,0,750
137351,"Blue Nun, Merlot",Langguth  Blue nun,France,Red,Table,13,16~18,SWEET2,ACIDITY3,BODY2,TANNIN2,17000,2011,750
137352,"Blue Nun, White",Langguth  Blue nun,Germany,White,"Appetizer, Table",10,8~10,SWEET3,ACIDITY4,BODY3,TANNIN1,18000,2017,750
137353,"Blue Nun, Riesling Winemaker's Passion",Langguth  Blue nun,Germany,White,Table,10~11,10~12,SWEET3,ACIDITY5,BODY3,TANNIN1,35000,2016,750
137354,Liebfraumilch,Langguth  Blue nun,Germany,White,Dessert,9.5,9~11,SWEET5,ACIDITY2,BODY2,TANNIN1,0,0,750
137355,"Blue Nun, Pink Icewein",Langguth  Blue nun,Spain,Rose,Dessert,7~8,6~8,SWEET4,ACIDITY2,BODY4,TANNIN1,60000,2011,375
137356,"Lawson's Dry Hills, Pinot Noir",Lawsons Dry Hills,New Zealand,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN3,0,2008,750
137357,"Lawson's Dry Hills, Sauvignon Blanc",Lawsons Dry Hills,New Zealand,White,Table,13,10~12,SWEET1,ACIDITY5,BODY2,TANNIN1,0,2011,750
137358,"Lawson's Dry Hills, Mount Vernon Sauvignon Blanc",Lawsons Dry Hills,New Zealand,White,Table,13,10~12,SWEET1,ACIDITY5,BODY2,TANNIN1,0,2006,750
137361,Lindemans Coonawarra Pyrus,Lindemans,Australia,Red,Table,14,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2011,750
137362,Lindemans Bin 45 Cabernet Sauvignon,Lindemans,Australia,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2012,750
137363,Lindemans Bin 50 Shiraz,Lindemans,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2014,750
137364,Lindemans Bin 65 Chardonnay,Lindemans,Australia,White,Table,13.5,9~11,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2015,750
137365,Lindemans Cawarra Semillon Chardonnay,Lindemans,Australia,White,Table,13.5,9~11,SWEET1,ACIDITY4,BODY2,TANNIN1,0,2006,750
137366,Lindemans Cawarra Shiraz Cabernet,Lindemans,Australia,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,17000,2014,750
137367,Lindemans Reserve Cabernet Merlot,Lindemans,Australia,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY2,TANNIN3,0,2014,750
137368,Lindemans Reserve Cabernet Sauvignon,Lindemans,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2013,750
137369,Lindemans Reserve Chardonnay,Lindemans,Australia,White,Table,13.5,9~11,SWEET1,ACIDITY4,BODY3,TANNIN1,0,2013,750
137370,Lindemans Reserve Shiraz,Lindemans,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750
137371,"Lindemans, Reserve Sparkling",Lindemans,Australia,Sparkling,Appetizer,12,6~8,SWEET1,ACIDITY3,BODY2,TANNIN1,0,2006,750
137372,Lindemans Premier Selection Chardonnay,Lindemans,Australia,White,Table,13,9~11,SWEET1,ACIDITY3,BODY2,TANNIN1,0,2011,750
137373,Lindemans Premier Selection Shiraz Cabernet,Lindemans,Australia,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
137374,"Marques de Caceres, Blanco",Marques de Caceres,Spain,White,Table,12.5,7~9,SWEET1,ACIDITY3,BODY3,TANNIN1,18000,2011,750
137375,Marques de Caceres Gaudium,Marques de Caceres,Spain,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
137376,Marques de Caceres Crianza,Marques de Caceres,Spain,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2012,750
137377,Marques de Caceres Gran Reserva,Marques de Caceres,Spain,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2009,750
137379,Marques de Caceres Reserva,Marques de Caceres,Spain,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2011,750
137380,Marques de Caceres MC,Marques de Caceres,Spain,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2013,750
137381,Marques de Caceres Satinela,Marques de Caceres,Spain,White,"Appetizer, Dessert",12,9~11,SWEET3,ACIDITY2,BODY3,TANNIN1,0,2011,750
137382,"Matua, Marlborough Pinot Noir",Matua,New Zealand,Red,Table,12~13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN2,50000,2017,750
137383,"Matua, Marlborough Sauvignon Blanc",Matua,New Zealand,White,"Appetizer, Table",12~13,10~12,SWEET1,ACIDITY5,BODY2,TANNIN1,50000,2017,750
137384,JJ McWilliam's Cabernet Merlot,McWilliams Wines,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2007,750
137385,JJ McWilliam's Shiraz Cabernet,McWilliams Wines,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,22000,2007,750
137386,McWilliam's Hanwood Cabernet Sauvignon,McWilliams Wines,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2008,750
137387,McWilliam's Hanwood Chardonnay,McWilliams Wines,Australia,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2006,750
